OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-34476,2025-126W,2026-02-09T14:07:09.536448,14.98340368,0.0003091,70.001,105.2689,266.2555,93.8251,0,U,64364,999,3647,0.00034327,4.006e-05,0.0
STARLINK-34479,2025-126X,2026-02-09T13:31:08.070240,14.98358277,0.0002935,70.0013,105.5811,272.73,87.3523,0,U,64365,999,3646,0.0009499,0.00011268,0.0
STARLINK-34484,2025-126Y,2026-02-09T13:43:05.703456,14.98382355,0.0002806,70.0012,105.2057,275.7331,84.3509,0,U,64366,999,3768,0.0021574,0.00025778,0.0
STARLINK-34483,2025-126Z,2026-02-09T13:49:22.041120,14.98335662,0.0003113,70.0011,105.2211,270.8348,89.2454,0,U,64367,999,3647,0.00042823,5.021e-05,0.0
STARLINK-34457,2025-126AA,2026-02-09T14:43:13.293984,14.9833608,0.0003031,70.0012,105.3542,269.9815,90.0997,0,U,64368,999,3647,0.00013593,1.529e-05,0.0
STARLINK-34444,2025-126AB,2026-02-09T16:25:59.827008,14.96678698,0.0017264,70.0056,105.2099,203.1831,156.855,0,U,64369,999,3648,-0.094601,-0.01008576,0.0
STARLINK-11732 [DTC],2025-127A,2026-02-09T20:27:57.035808,15.70853491,0.0002093,43.0016,252.3992,287.6972,72.3667,0,U,64370,999,3912,0.0015307,0.00200899,0.0
STARLINK-11731 [DTC],2025-127B,2026-02-08T21:57:29.068992,15.7088299,0.00019911,42.9994,258.2714,280.8875,79.1769,0,U,64371,999,3897,0.0010469086,0.00136359,0.0
STARLINK-11746 [DTC],2025-127C,2026-02-08T15:05:22.949376,15.7050995,0.0001276,42.9998,259.5565,212.881,147.1978,0,U,64372,999,3893,0.0056288,0.00783369,0.0
STARLINK-11748 [DTC],2025-127D,2026-02-08T23:45:38.554848,15.70881769,0.00023826,42.9977,257.98,261.1944,98.8653,0,U,64373,999,3898,0.00083620258,0.00108455,0.0
STARLINK-11739 [DTC],2025-127E,2026-02-09T16:00:00.999936,15.70884662,0.0001697,43.0002,253.0659,271.6988,295.2896,0,U,64374,999,578,-0.0010702,-0.00135809,0.0
STARLINK-11738 [DTC],2025-127F,2026-02-08T00:50:55.833216,15.708577,0.00024961,42.9985,263.7204,243.8784,116.1827,0,U,64375,999,3883,0.00096389991,0.00125214,0.0
STARLINK-11745 [DTC],2025-127G,2026-02-08T22:58:28.119360,15.70888382,0.00025872,42.9973,257.7285,315.5847,44.4813,0,U,64376,999,3898,0.0012224239,0.00159792,0.0
STARLINK-11742 [DTC],2025-127H,2026-02-09T19:11:40.015680,15.708844,0.0001523,42.9991,252.8563,273.6306,86.4388,0,U,64377,999,3911,0.0014775,0.00193988,0.0
STARLINK-11711 [DTC],2025-127J,2026-02-09T01:38:38.634144,15.70966924,0.00026638,42.9987,256.8155,253.3461,106.7114,0,U,64378,999,3911,0.0010607576,0.00138705,0.0
STARLINK-11743 [DTC],2025-127K,2026-02-09T14:52:17.056704,15.70892253,0.0001737,42.9986,254.0887,276.1262,83.9408,0,U,64379,999,3908,0.0014988,0.00196922,0.0
STARLINK-11744 [DTC],2025-127L,2026-02-09T20:35:34.840896,15.70918096,0.0002439,42.9992,252.4308,276.4756,83.5834,0,U,64380,999,3912,0.00087507,0.00113765,0.0
STARLINK-11692 [DTC],2025-127M,2026-02-09T17:09:31.560768,15.70891999,0.0001635,42.9994,253.0684,249.7306,110.3386,0,U,64381,999,3921,0.002214,0.0029458,0.0
STARLINK-11740 [DTC],2025-127N,2026-02-08T23:59:26.392992,15.70880969,0.00021446,42.9988,257.1551,253.5201,106.5431,0,U,64382,999,3899,0.0004904252,0.00063071,0.0
STARLINK-34299,2025-127P,2026-02-09T06:04:29.263872,15.2760837,0.0001306,43.0023,340.7648,258.5873,101.4832,0,U,64383,999,3806,0.0011446,0.00031395,0.0
STARLINK-34271,2025-127Q,2026-02-09T05:47:49.188192,15.27609237,0.00011373,42.9939,340.6825,262.5888,97.4835,0,U,64384,999,3811,0.0016553069,0.00045611,0.0
STARLINK-34100,2025-127R,2026-02-08T23:36:45.809856,15.27604447,0.00010548,43.0069,342.172,261.8819,98.1914,0,U,64385,999,3802,0.0016205113,0.00044634,0.0
STARLINK-34269,2025-127S,2026-02-09T04:46:45.837696,15.27600146,0.0002959,43.0027,340.3458,245.452,114.6024,0,U,64386,999,3811,0.0011723,0.00032159,0.0
STARLINK-34351,2025-127T,2026-02-09T04:44:54.468096,15.27605334,0.0001952,43.0016,340.3353,253.3348,106.7289,0,U,64387,999,3811,0.0012331,0.00033852,0.0
STARLINK-34198,2025-127U,2026-02-09T04:43:05.109888,15.27591112,0.0001017,42.9991,340.331,22.0935,337.996,0,U,64388,999,3811,0.00070212,0.00019115,0.0
STARLINK-34279,2025-127V,2026-02-09T06:13:44.053824,15.27600842,0.0002117,43.0049,340.8127,263.1223,96.9387,0,U,64389,999,3811,0.001555,0.00042804,0.0
STARLINK-34292,2025-127W,2026-02-09T05:42:16.753824,15.27613151,0.0001362,42.9964,340.6485,262.7998,97.2698,0,U,64390,999,3811,0.0014032,0.00038593,0.0
STARLINK-34278,2025-127X,2026-02-09T04:50:27.686112,15.27584206,0.0003532,43.0024,340.3657,241.7327,118.3168,0,U,64391,999,3811,0.00087475,0.00023893,0.0
STARLINK-33802,2025-127Y,2026-02-09T05:58:55.924032,15.27608712,0.0001622,43.0041,340.7353,265.2246,94.842,0,U,64392,999,3816,0.0016848,0.00046432,0.0
STARLINK-34419,2025-129A,2026-02-09T17:14:06.540864,14.98332782,0.0003126,70.001,145.1289,267.8936,92.1865,0,U,64412,999,3711,0.0011785,0.00013998,0.0
STARLINK-34275,2025-129B,2026-02-09T20:00:01.999008,14.98346819,0.0003433,70.0005,144.722,274.0731,99.0036,0,U,64413,999,581,-0.0019295,-0.00023051,0.0
STARLINK-34225,2025-129C,2026-02-09T17:26:07.785600,14.98340484,0.0002576,70.0018,145.1612,284.0624,76.0248,0,U,64414,999,3709,0.00051867,6.103e-05,0.0
STARLINK-34422,2025-129D,2026-02-09T16:56:04.553664,14.9835663,0.0003235,70.001,145.0957,265.2579,94.821,0,U,64415,999,3703,0.00044172,5.185e-05,0.0
STARLINK-34514,2025-129E,2026-02-09T16:01:57.615744,14.98362567,0.0002879,70.0021,144.9666,269.4928,90.5901,0,U,64416,999,3709,0.0010255,0.00012174,0.0
STARLINK-34487,2025-129F,2026-02-09T16:07:58.701216,14.98326216,0.0003048,70.0015,144.9778,271.1768,88.9042,0,U,64417,999,3703,-0.00019268,-2.391e-05,0.0
STARLINK-34461,2025-129G,2026-02-09T17:20:21.160896,14.9833697,0.0003355,70.0014,145.1483,274.7857,85.2919,0,U,64418,999,3709,0.00017757,2.027e-05,0.0
STARLINK-34512,2025-129H,2026-02-09T17:02:04.922880,14.98339292,0.0002984,70.0011,145.1036,269.219,90.8627,0,U,64419,999,3703,0.00037528,4.389e-05,0.0
STARLINK-34503,2025-129J,2026-02-09T13:56:03.712128,14.98339833,0.000313,70.001,145.4576,266.763,93.3171,0,U,64420,999,3701,0.00018596,2.127e-05,0.0
STARLINK-34498,2025-129K,2026-02-09T16:50:04.351200,14.98357188,0.0003703,70.0008,145.0817,270.9699,89.1035,0,U,64421,999,3709,0.00081301,9.628e-05,0.0
STARLINK-34434,2025-129L,2026-02-09T17:20:06.808128,14.9834201,0.0003563,70.0009,145.153,272.3362,87.7389,0,U,64422,999,3709,0.00058754,6.927e-05,0.0
STARLINK-34467,2025-129M,2026-02-09T16:32:01.899168,14.98336497,0.000307,70.0022,145.0363,272.1015,87.9793,0,U,64423,999,3709,0.00039808,4.661e-05,0.0
STARLINK-34468,2025-129N,2026-02-09T17:26:20.901984,14.98352754,0.0002871,70.0012,145.1654,272.52,87.563,0,U,64424,999,3709,0.00052549,6.186e-05,0.0
STARLINK-34452,2025-129P,2026-02-09T16:14:13.973568,14.98344614,0.0003428,70.0009,144.9902,273.9148,86.1619,0,U,64425,999,3709,0.000363,4.243e-05,0.0
STARLINK-34432,2025-129Q,2026-02-09T16:38:02.862816,14.98328201,0.0003463,70.0018,145.0476,269.4106,90.6656,0,U,64426,999,3703,0.0011447,0.00013591,0.0
STARLINK-34480,2025-129R,2026-02-09T16:13:59.942208,14.98336062,0.0002981,70.0016,144.9871,264.9416,95.1403,0,U,64427,999,3709,0.00020743,2.383e-05,0.0
STARLINK-34495,2025-129S,2026-02-09T16:26:00.779136,14.98314651,0.0002761,70.0016,145.0257,267.2568,92.8275,0,U,64428,999,3709,-0.00046022,-5.578e-05,0.0
STARLINK-34501,2025-129T,2026-02-09T17:08:05.597088,14.98335405,0.0003138,70.0008,145.1247,271.1366,88.9434,0,U,64429,999,3709,-0.00013203,-1.668e-05,0.0
STARLINK-34441,2025-129U,2026-02-09T16:44:03.022944,14.9834091,0.0003447,70.0013,145.0654,269.2662,90.8102,0,U,64430,999,3709,0.00054074,6.367e-05,0.0
