constellation,OBJECT_NAME,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,REV_AT_EPOCH,ELEMENT_SET_NO,OBJECT_TYPE,DECAY_DATE
GLONASS,COSMOS 717,7684,2026-03-29T04:15:32.189760,12.39833553,0.0034993,74.0018,138.0491,140.4067,276.6585,7.6724e-05,-5e-08,0.0,7885.446,116.145,1534.904,1479.717,31192,999,PAYLOAD,
GLONASS,COSMOS 718,7685,2026-03-29T02:53:11.036832,12.51393494,0.0038622,74.0053,326.153,147.5424,6.4314,0.0001212,3e-08,0.0,7836.809,115.072,1488.941,1428.406,33337,999,PAYLOAD,
GLONASS,COSMOS 723,7718,2026-03-29T04:47:36.300480,13.89659622,0.0042595,64.7163,146.9546,354.502,5.5567,1.8211e-05,-7e-07,0.0,7307.961,103.622,960.954,898.698,58766,999,PAYLOAD,
GLONASS,COSMOS 724,7727,2026-03-28T20:39:14.112864,13.99123773,0.0053209,65.588,266.8755,166.7758,193.4725,4.2251e-05,-2.6e-07,0.0,7274.968,102.922,935.542,858.124,60445,999,PAYLOAD,
GLONASS,COSMOS 726,7736,2026-03-29T00:18:04.362336,13.78448312,0.0024479,82.9915,281.2309,272.2519,87.5836,6.1424e-05,7.7e-07,0.0,7347.533,104.465,987.384,951.412,56264,999,PAYLOAD,
GLONASS,COSMOS 729,7768,2026-03-29T04:59:30.696288,13.7363609,0.0023479,82.9679,189.242,29.5543,35.3538,5.2761e-05,6.5e-07,0.0,7364.683,104.831,1003.839,969.256,55205,999,PAYLOAD,
GLONASS,COSMOS 732,7820,2026-03-29T04:26:53.300832,12.56723383,0.0043275,74.0141,102.0487,305.7976,126.6353,0.00018562,1.4e-07,0.0,7814.635,114.584,1470.318,1402.682,33222,999,PAYLOAD,
GLONASS,COSMOS 733,7822,2026-03-29T02:03:13.579776,12.3884078,0.0053606,74.0187,202.136,318.3092,215.271,-6.5072e-05,-2.4e-07,0.0,7889.658,116.238,1553.816,1469.23,29908,999,PAYLOAD,
GLONASS,COSMOS 734,7823,2026-03-29T01:41:22.864128,12.51797081,0.0018444,74.0199,330.1895,223.48,248.1578,7.4441e-05,-4e-08,0.0,7835.124,115.035,1471.44,1442.538,32304,999,PAYLOAD,
GLONASS,COSMOS 735,7824,2026-03-29T02:34:50.076192,12.49368532,0.0007329,74.0145,82.1252,24.1624,42.247,0.00015067,7e-08,0.0,7845.274,115.258,1472.889,1461.389,31858,999,PAYLOAD,
GLONASS,COSMOS 736,7825,2026-03-29T05:21:31.533696,12.4688777,0.0011259,74.019,195.9208,251.8882,126.9073,-7.1653e-05,-2.6e-07,0.0,7855.677,115.488,1486.386,1468.697,31397,999,PAYLOAD,
GLONASS,COSMOS 737,7826,2026-03-29T04:35:19.883040,12.4174403,0.0037377,74.0154,70.1314,175.6045,196.6938,0.00015173,5e-08,0.0,7877.356,115.966,1528.664,1469.777,30441,999,PAYLOAD,
GLONASS,COSMOS 738,7827,2026-03-29T02:14:55.389696,12.44240555,0.0025005,74.0182,316.7144,29.52,84.2366,0.00014576,5e-08,0.0,7866.815,115.733,1508.351,1469.009,30904,999,PAYLOAD,
GLONASS,COSMOS 739,7828,2026-03-29T03:25:45.353856,12.5420624,0.0030631,74.0174,218.7516,93.687,80.4409,-4.0815e-05,-2.2e-07,0.0,7825.088,114.814,1470.922,1422.983,32754,999,PAYLOAD,
GLONASS,COSMOS 755,8072,2026-03-29T05:10:06.265920,13.74213399,0.0027961,82.9055,144.2286,10.677,52.5499,5.5528e-05,6.7e-07,0.0,7362.62,104.787,1005.072,963.898,53752,999,PAYLOAD,
