OBJECT_NAME,OBJECT_ID,anomaly_score,anomaly_factors,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-30115,2023-107H,2,ECCENTRICITY=HIGH (0.002091 > 0.000535); BSTAR=HIGH (0.006640 > 0.004463),0.0020907,42.972,0.0066402,16.19261242
STARLINK-30170,2023-105B,2,ECCENTRICITY=HIGH (0.001604 > 0.000535); BSTAR=HIGH (0.005833 > 0.004463),0.0016043,42.9732,0.0058328,16.24472118
STARLINK-30173,2023-105K,2,ECCENTRICITY=HIGH (0.000785 > 0.000535); BSTAR=HIGH (0.004591 > 0.004463),0.0007848,42.9635,0.0045908,16.32028811
STARLINK-30175,2023-096X,2,ECCENTRICITY=HIGH (0.001489 > 0.000535); BSTAR=HIGH (0.004951 > 0.004463),0.00148916,42.9582,0.0049505681,16.25082464
STARLINK-30180,2023-105F,2,ECCENTRICITY=HIGH (0.001065 > 0.000535); BSTAR=HIGH (0.005520 > 0.004463),0.0010651,42.9727,0.0055201,16.20113822
STARLINK-30194,2023-096U,2,ECCENTRICITY=HIGH (0.002384 > 0.000535); BSTAR=HIGH (0.005921 > 0.004463),0.00238382,42.9671,0.0059209921,16.17498791
STARLINK-30202,2023-096D,2,ECCENTRICITY=HIGH (0.002234 > 0.000535); BSTAR=HIGH (0.012741 > 0.004463),0.0022344,42.9814,0.012741,16.12176414
STARLINK-30206,2023-096F,2,ECCENTRICITY=HIGH (0.001297 > 0.000535); BSTAR=HIGH (0.007145 > 0.004463),0.0012968,42.9716,0.0071453,16.22247661
STARLINK-30234,2023-096H,2,ECCENTRICITY=HIGH (0.001581 > 0.000535); BSTAR=HIGH (0.005374 > 0.004463),0.0015811,42.9655,0.0053739,16.14319093
STARLINK-30237,2023-105H,2,ECCENTRICITY=HIGH (0.001731 > 0.000535); BSTAR=HIGH (0.004796 > 0.004463),0.0017315,42.9958,0.0047959,15.59955071
STARLINK-30262,2023-115Q,2,ECCENTRICITY=HIGH (0.000564 > 0.000535); BSTAR=HIGH (0.004833 > 0.004463),0.0005643,42.9766,0.0048326,16.36224002
STARLINK-30293,2023-122T,2,ECCENTRICITY=HIGH (0.002086 > 0.000535); BSTAR=HIGH (0.005862 > 0.004463),0.0020862,42.9823,0.0058618,16.25115895
STARLINK-30302,2023-124B,2,ECCENTRICITY=HIGH (0.000583 > 0.000535); BSTAR=HIGH (0.005431 > 0.004463),0.0005828,53.1263,0.0054315,16.36224406
STARLINK-30406,2023-144T,2,ECCENTRICITY=HIGH (0.001362 > 0.000535); BSTAR=HIGH (0.004736 > 0.004463),0.0013616,42.976,0.004736,16.32468481
STARLINK-30417,2023-138Q,2,ECCENTRICITY=HIGH (0.001612 > 0.000535); BSTAR=HIGH (0.005288 > 0.004463),0.0016124,42.9828,0.0052885,16.29977575
STARLINK-30419,2023-141F,2,ECCENTRICITY=HIGH (0.000589 > 0.000535); BSTAR=HIGH (0.005283 > 0.004463),0.0005893,53.1458,0.0052834,16.3646608
STARLINK-30420,2023-141G,2,ECCENTRICITY=HIGH (0.000699 > 0.000535); BSTAR=HIGH (0.004978 > 0.004463),0.0006992,53.1143,0.0049776,16.34427977
STARLINK-30475,2023-147S,2,ECCENTRICITY=HIGH (0.001521 > 0.000535); BSTAR=HIGH (0.006217 > 0.004463),0.001521,42.9769,0.0062168,16.27746395
STARLINK-30491,2023-147D,2,ECCENTRICITY=HIGH (0.001053 > 0.000535); BSTAR=HIGH (0.004772 > 0.004463),0.0010531,42.983,0.0047722,16.29365899
STARLINK-30786,2023-170L,2,ECCENTRICITY=HIGH (0.001112 > 0.000535); BSTAR=HIGH (0.006033 > 0.004463),0.0011121,42.9892,0.0060335,16.28833467
STARLINK-30937,2023-178U,2,ECCENTRICITY=HIGH (0.001592 > 0.000535); BSTAR=HIGH (0.005354 > 0.004463),0.00159155,53.126,0.0053535849,16.23320199
STARLINK-30960,2023-183V,2,ECCENTRICITY=HIGH (0.002938 > 0.000535); BSTAR=HIGH (0.006125 > 0.004463),0.0029381,42.986,0.0061249,15.75048493
STARLINK-30970,2024-020N,2,ECCENTRICITY=HIGH (0.000688 > 0.000535); BSTAR=HIGH (0.006363 > 0.004463),0.0006876,53.1268,0.0063633,16.31833854
STARLINK-30974,2023-186G,2,ECCENTRICITY=HIGH (0.002000 > 0.000535); BSTAR=HIGH (0.004509 > 0.004463),0.0020002,42.9845,0.0045088,16.19653173
STARLINK-31043,2023-200C,2,ECCENTRICITY=HIGH (0.000834 > 0.000535); BSTAR=HIGH (0.005322 > 0.004463),0.0008343,42.9948,0.0053218,16.23898446
STARLINK-31119,2023-203A,2,ECCENTRICITY=HIGH (0.002035 > 0.000535); BSTAR=HIGH (0.019560 > 0.004463),0.0020354,42.9951,0.01956,16.27217415
STARLINK-31173,2024-012R,2,ECCENTRICITY=HIGH (0.001389 > 0.000535); BSTAR=HIGH (0.006808 > 0.004463),0.0013892,42.9838,0.006808,16.1923349
STARLINK-31347,2024-045F,2,ECCENTRICITY=HIGH (0.000798 > 0.000535); BSTAR=HIGH (0.006209 > 0.004463),0.0007979,42.9874,0.006209,16.28584291
STARLINK-31360,2024-031T,2,ECCENTRICITY=HIGH (0.001234 > 0.000535); BSTAR=HIGH (0.004845 > 0.004463),0.0012345,53.1309,0.0048453,16.25364394
STARLINK-31367,2024-064L,2,ECCENTRICITY=HIGH (0.001720 > 0.000535); BSTAR=HIGH (0.010460 > 0.004463),0.0017198,42.9868,0.01046,15.99287143
STARLINK-31429,2024-036F,2,ECCENTRICITY=HIGH (0.000662 > 0.000535); BSTAR=HIGH (0.004856 > 0.004463),0.0006616,53.1227,0.0048564,16.27893418
STARLINK-31617,2024-068A,2,ECCENTRICITY=HIGH (0.001753 > 0.000535); BSTAR=HIGH (0.004862 > 0.004463),0.0017528,42.9755,0.0048617,16.36077508
STARLINK-31624,2024-073X,2,ECCENTRICITY=HIGH (0.001652 > 0.000535); BSTAR=HIGH (0.007055 > 0.004463),0.0016518,42.9823,0.0070549,16.14829563
STARLINK-31664,2024-073D,2,ECCENTRICITY=HIGH (0.000620 > 0.000535); BSTAR=HIGH (0.004676 > 0.004463),0.0006205,42.9906,0.0046761,16.19301859
STARLINK-31725,2024-074E,2,ECCENTRICITY=HIGH (0.001575 > 0.000535); BSTAR=HIGH (0.004591 > 0.004463),0.0015748,42.9966,0.004591,15.55289566
