OBJECT_NAME,NORAD_CAT_ID,INCLINATION,APOAPSIS,PERIAPSIS,BSTAR,iso_score,pca_score,combined_score,anomaly_flag
STARLINK-34985,65379,97.6029,550.734,548.255,0.00050693506,0.4234678445132979,0.04165489501958141,0.23256136976643965,0
STARLINK-35051,65380,97.6024,551.154,547.869,0.00015018,0.4610276731349914,0.043286523830263345,0.25215709848262735,0
STARLINK-35028,65381,97.6021,550.919,548.104,0.00017893,0.4021431053577318,0.04201080454472376,0.22207695495122778,0
STARLINK-35032,65382,97.6038,550.893,547.965,0.00052116,0.4338725254349422,0.04210959532206135,0.23799106037850176,0
STARLINK-35054,65383,97.5984,551.561,547.443,7.4825e-05,0.48069206580768126,0.04439852510162038,0.26254529545465083,0
STARLINK-35012,65384,97.6039,550.605,548.38,0.00044952,0.39631886362619584,0.04151961590550098,0.2189192397658484,0
STARLINK-35073,65385,97.6021,551.101,547.907,0.00035203369,0.4376573092530925,0.04258210551022502,0.24011970738165875,0
STARLINK-35066,65386,97.6022,551.21,547.807,0.00017361,0.43574955039215624,0.042760520778624855,0.23925503558539055,0
STARLINK-34703,65387,97.6027,551.207,547.808,0.00021807,0.44849636091346784,0.043006671200819344,0.2457515160571436,0
STARLINK-34957,65388,97.6019,550.679,548.329,0.00021169,0.4559053345493163,0.04286245669165292,0.24938389562048463,0
STARLINK-34993,65389,97.6028,551.167,547.748,0.00055529766,0.49274064869261563,0.04356764062404691,0.26815414465833126,0
STARLINK-35083,65390,97.6025,551.627,547.491,0.00039131,0.4834463716214494,0.044524961453214544,0.26398566653733196,0
STARLINK-34786,65391,97.6021,551.36,547.64,0.00026781,0.48975720587664606,0.04397527851581487,0.26686624219623045,0
STARLINK-35082,65392,97.6019,550.896,548.08,0.00042465,0.4134717765140951,0.04188752232084095,0.22767964941746804,0
STARLINK-35097,65393,97.6037,550.958,548.065,0.00050779,0.43012291489507043,0.042069495804343944,0.23609620534970718,0
STARLINK-35058,65394,97.6055,550.818,548.137,0.00065921,0.5403850904419086,0.04432838502640515,0.2923567377341569,0
STARLINK-35094,65395,97.6038,550.481,548.48,0.00063044413,0.4042765301169927,0.04167523085362499,0.22297588048530886,0
STARLINK-34811,65396,97.603,550.941,548.17,1.5189e-05,0.39029162673676066,0.04173847794297116,0.2160150523398659,0
STARLINK-34940,65397,97.6026,551.124,547.992,0.00039699884,0.4286993829218739,0.042399357500870295,0.2355493702113721,0
STARLINK-34931,65398,97.6031,550.755,548.254,0.0002805,0.3890032432180561,0.04170279632462279,0.21535301977133947,0
STARLINK-34836,65399,97.6029,551.547,547.161,0.0011827,0.5972427224553037,0.046704586287270325,0.32197365437128705,0
STARLINK-34876,65400,97.6022,551.313,547.711,0.00013666,0.5575048187394178,0.04556924350847354,0.3015370311239457,0
STARLINK-34909,65401,97.6019,551.162,547.623,0.0016798,0.525930632121741,0.04345326219451795,0.28469194715812945,0
STARLINK-34848,65402,97.602,551.462,547.52,0.00034091,0.5049892820957327,0.044667359476897074,0.27482832078631486,0
STARLINK-35031,65404,53.1581,476.483,473.801,0.0012873,0.1098375958792679,0.0025129339526640177,0.05617526491596596,0
STARLINK-35004,65428,53.158,476.599,473.724,0.0010102,0.10761083151204162,0.002986635773407778,0.0552987336427247,0
STARLINK-35014,65429,53.1596,477.644,472.75,0.001513517,0.26457037902399366,0.01646215551716062,0.14051626727057714,0
STARLINK-35025,65430,53.1598,475.928,474.417,0.0010945,0.17181835854234684,0.010712309258119992,0.09126533390023342,0
STARLINK-35034,65431,53.1596,475.557,474.806,0.0012459592,0.11846676538753989,0.008550076864365175,0.06350842112595254,0
STARLINK-34830,65405,53.1603,473.673,471.492,0.0011315,0.2723556515388607,0.00921123721564906,0.14078344437725487,0
STARLINK-35036,65406,53.1575,475.978,474.518,0.00037697381,0.03992057944104951,0.003682524473262457,0.021801551957155982,0
STARLINK-35035,65407,53.1609,473.969,471.432,0.0013478633,0.10916571025341482,0.0015398554524733927,0.05535278285294411,0
STARLINK-35008,65408,53.1585,476.368,473.975,0.00097456,0.06689575410151595,0.0004551198067951585,0.033675436954155556,0
STARLINK-35022,65409,53.1592,473.415,471.846,0.0015256,0.0740679024463768,0.0018698341950974685,0.037968868320737134,0
STARLINK-35024,65410,53.1594,473.219,472.225,0.00097027101,0.07875719017217295,0.005634825889259914,0.04219600803071643,0
STARLINK-34983,65411,53.1604,473.22,472.094,0.0012781,0.08560533752466457,0.004175016363347692,0.04489017694400613,0
STARLINK-34992,65412,53.161,476.322,474.24,0.00092118,0.10122731057619705,0.005725732965035348,0.0534765217706162,0
STARLINK-35003,65413,53.1607,475.283,475.055,0.0010818329,0.2254880044304144,0.013257679217355352,0.11937284182388487,0
STARLINK-34411,65414,53.1365,314.895,299.375,0.00089283,0.9113236888212909,0.05223977645159264,0.48178173263644175,0
STARLINK-34238,65415,53.16,475.667,474.624,0.0012221,0.10345458966678081,0.0067732781070061745,0.05511393388689349,0
STARLINK-34855,65416,53.1595,476.714,473.462,0.00096389,0.17108546355570725,0.007578116884882257,0.08933179022029475,0
STARLINK-34255,65417,53.1604,475.884,474.404,0.0010445778,0.044284775031189334,0.0027239693342386235,0.02350437218271398,0
STARLINK-34997,65418,53.1584,475.725,474.617,0.00094671,0.06856501224136309,0.004837013178421493,0.03670101270989229,0
STARLINK-35085,65419,53.1598,457.358,456.841,0.0013307921,0.4052290933852776,0.023251475761261107,0.21424028457326935,0
STARLINK-35138,65420,53.1581,452.834,451.533,0.00092817,0.22041540889943004,0.013521379927433862,0.11696839441343194,0
STARLINK-35146,65421,53.1582,473.785,471.51,0.0011958,0.13999716215417748,0.006222796638190084,0.07310997939618379,0
STARLINK-35074,65422,53.1592,476.438,473.849,0.0017298,0.1168303253526313,0.0009256662507338234,0.05887799580168256,0
STARLINK-34837,65423,53.1591,476.183,474.135,0.0009635,0.07316784509023266,0.002924871201057596,0.03804635814564513,0
STARLINK-34670,65424,53.1609,475.733,474.251,0.001766,0.3299285306812172,0.0182855088433055,0.17410701976226134,0
STARLINK-35095,65425,53.1588,477.156,473.272,0.0011496,0.20110675635172098,0.010860238498982901,0.10598349742535194,0
STARLINK-34883,65426,53.1619,476.157,474.161,0.0011656,0.05929562859892554,0.0009604424942016836,0.03012803554656361,0
STARLINK-34916,65427,53.1601,475.888,474.243,0.0011666,0.14310723246440873,0.008804334485647092,0.07595578347502792,0
STARLINK-35142,65434,97.6022,550.521,548.506,0.00047615,0.41542294054185586,0.04196814325810678,0.22869554189998131,0
STARLINK-34978,65435,97.6017,551.552,547.462,0.0001645,0.4898032385359299,0.04452677549831129,0.2671650070171206,0
STARLINK-35043,65436,97.6041,564.635,561.344,0.00033199,0.49459775592023303,0.043536647984024526,0.2690672019521288,0
STARLINK-35080,65437,97.6022,551.058,547.912,0.00044273,0.4317357984819351,0.0422656958039728,0.23700074714295394,0
STARLINK-35068,65438,97.6017,550.943,548.041,0.00034798,0.408723236619279,0.04189288411203796,0.22530806036565848,0
STARLINK-35045,65439,97.6022,551.403,547.657,0.00044555,0.4710230534938977,0.04364344138270762,0.25733324743830266,0
STARLINK-35050,65440,97.6017,550.789,548.275,0.00087709,0.4315703907086203,0.04162362200224238,0.23659700635543135,0
STARLINK-35065,65441,97.5997,550.844,548.203,0.0014972,0.5698521535995831,0.044849419238569284,0.3073507864190762,0
STARLINK-34679,65442,97.6018,550.919,548.379,-0.00023498,0.4038278312233344,0.041430698768167316,0.22262926499575084,0
