OBJECT_NAME,OBJECT_ID,EPOCH,predicted_anomaly,lof_score,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1246,2020-012BK,2026-02-09T19:15:13.294944,1,-2.2847871951253262,15.29909051,0.0001559,53.159,168.7841,94.7063,265.4115,0.0031852,0.00094327,0.0
STARLINK-5885,2023-058AM,2026-02-09T13:41:00.780288,1,-2.2806922163321293,15.01253822,0.0003272,97.6038,42.6991,165.2792,194.8528,0.00013074,1.621e-05,0.0
STARLINK-2421,2021-027G,2026-02-09T05:08:33.055872,1,-2.269176700246865,15.29979052,0.0001611,53.1583,287.2082,103.8768,256.2412,0.0036104,0.0010739,0.0
STARLINK-34358,2025-123Y,2026-02-09T00:26:41.507808,1,-2.265517290821539,14.98330203,0.00014791,70.0024,266.7547,292.3466,67.7536,-6.9514808e-05,-9.22e-06,0.0
STARLINK-5391,2022-177P,2026-02-10T01:10:51.999744,1,-2.2628446798040445,16.03847022,0.0002229,42.9934,257.8666,256.622,103.4411,0.0017585,0.01162225,0.00073677
STARLINK-3959,2022-051AH,2026-02-09T19:22:02.097408,1,-2.2532997876526037,15.08826047,0.0001662,53.2194,259.3074,50.7225,309.3915,-1.3706e-05,-5.06e-06,0.0
STARLINK-31156,2024-005R,2026-02-09T07:36:10.729440,1,-2.251844925375977,15.02536954,8.542e-05,43.003,15.8041,313.6778,46.3993,-8.025749e-06,-3.12e-06,0.0
STARLINK-36123,2025-293E,2026-02-09T12:56:02.390784,1,-2.250410584959009,14.98365456,0.000255,70.0016,165.3328,262.1605,97.9265,-0.0029894,-0.00035613,0.0
STARLINK-32914,2025-037K,2026-02-09T11:06:15.590880,1,-2.250178796790671,14.98351646,0.00019438,70.0029,65.634,259.674,100.42,0.00046911747,5.512e-05,0.0
STARLINK-32552,2024-225M,2026-02-09T19:42:56.673792,1,-2.240477955421851,14.98297375,0.0003595,70.0004,234.5978,302.1904,57.8906,-0.003931,-0.00046649,0.0
STARLINK-35547,2025-237F,2026-02-09T19:37:57.874944,1,-2.234861477428715,15.39631993,7.99e-05,53.1589,169.0597,20.0633,340.0403,0.001072,0.00042738,0.0
STARLINK-35406,2025-218E,2026-02-09T14:46:57.196128,1,-2.2291137277148083,15.05688546,0.0003879,97.6001,265.2519,110.2852,249.8792,0.0013249,0.0001913,0.0
STARLINK-1493,2020-038AF,2026-02-09T18:44:11.324832,1,-2.2289982618098914,15.43146947,0.0002145,53.0544,337.6076,116.5389,243.5836,0.0018816,0.00085173,0.0
STARLINK-1913,2020-088BK,2026-02-09T20:00:01.999008,1,-2.2228045480701035,15.2083535,0.0001597,53.1141,76.1685,64.3706,354.8252,0.003016,0.00067701,0.0
STARLINK-3681,2022-025N,2026-02-09T14:18:06.489216,1,-2.207164313904177,15.06575152,0.0001426,53.0555,153.0507,80.9684,279.1466,0.0026453,0.00039529,0.0
STARLINK-34481,2025-167AC,2026-02-09T14:38:22.558848,1,-2.206569676263952,15.30131713,8.046e-05,53.157,156.8735,6.3172,353.7839,0.00047595169,0.00013734,0.0
STARLINK-30922,2023-180N,2026-02-09T11:55:32.780352,1,-2.19521210577713,15.02516863,5.15e-05,43.0006,209.2509,281.7991,78.2793,-0.00013018414,-1.96e-05,0.0
STARLINK-30152,2023-079F,2026-02-09T00:39:01.797696,1,-2.194445282391388,15.02525253,3.591e-05,43.0033,263.0467,354.375,5.7088,-7.4921012e-05,-1.215e-05,0.0
STARLINK-3117,2021-104AD,2026-02-09T00:31:20.066592,1,-2.192067972966684,15.08820125,0.00011586,53.2184,337.8137,42.896,317.2123,-5.5258352e-05,-1.167e-05,0.0
STARLINK-36214,2025-299AD,2026-02-09T16:00:00.999936,1,-2.19205010169584,15.40642197,0.0001647,43.0021,329.804,260.0556,3.5389,0.0014264,0.00059633,0.0
STARLINK-4659,2022-177X,2026-02-09T01:46:51.834720,1,-2.180259239119216,15.0253111,0.00018674,43.0122,288.5756,302.4437,57.6224,0.00013271548,1.589e-05,0.0
STARLINK-4689,2022-104C,2026-02-09T03:38:45.074112,1,-2.1781479109851776,15.08842095,0.00019123,53.2196,12.4424,128.2432,231.8733,-0.00032188665,-5.408e-05,0.0
STARLINK-34668,2025-150AA,2026-02-09T19:33:31.297248,1,-2.177987721516419,14.98284449,0.000317,70.0016,204.6357,273.3556,86.7241,0.0038551,0.00046155,0.0
STARLINK-30502,2023-151K,2026-02-09T07:47:25.039968,1,-2.1768527915508136,15.02779842,0.000279,43.0048,133.1772,256.9108,103.1423,-0.0039458,-0.0005345,0.0
STARLINK-4636,2022-107AH,2026-02-09T06:17:58.098336,1,-2.1753629465567745,15.10748637,0.0004705,53.2158,21.6251,65.4551,294.6932,0.0017949,0.00029946,0.0
STARLINK-2232,2021-041AB,2026-02-09T20:00:01.999008,1,-2.1752620811228898,15.29225158,0.0001645,53.1524,256.0579,99.241,211.3171,0.0015775,0.0004526,0.0
STARLINK-6116,2023-083AM,2026-02-08T19:40:20.908416,1,-2.1749553782985025,15.0253631,4.801e-05,42.9989,225.9907,276.0492,84.0296,3.4311831e-05,2.6e-06,0.0
STARLINK-3653,2022-025AW,2026-02-09T14:20:33.308736,1,-2.174124189893666,15.08837651,6.41e-05,53.2157,145.1439,103.0961,257.0103,0.00037293,5.652e-05,0.0
STARLINK-3633,2022-017AB,2026-02-09T11:49:12.165888,1,-2.170402188618104,15.22228173,0.00011433,53.22,114.2664,55.7127,304.3979,0.00034264665,7.655e-05,0.0
STARLINK-6184,2023-088AK,2026-02-07T22:40:41.298816,1,-2.1684735655964094,15.02516102,0.00017852,43.0021,256.233,218.2079,141.8637,0.00014698788,1.781e-05,0.0
STARLINK-5328,2023-021AF,2026-02-09T19:18:48.338496,1,-2.16456257655979,14.98331602,0.0003905,69.9976,234.9223,330.7907,29.3034,2.6168e-05,2.19e-06,0.0
STARLINK-30330,2023-122E,2026-02-08T19:18:49.455648,1,-2.1586395520065293,15.02520576,0.00015237,43.0024,251.8588,288.8855,71.1823,-0.00013524436,-2.029e-05,0.0
STARLINK-4026,2022-052C,2026-02-09T05:49:11.720064,1,-2.1570764622492216,15.0883541,0.0001171,53.2178,46.8294,69.0891,291.0226,-0.00017655,-3.096e-05,0.0
STARLINK-2643,2021-038Q,2026-02-09T20:00:01.999008,1,-2.1568109771349113,15.3020968,0.0001239,53.1582,114.7647,85.7146,205.9025,-0.00071903,-0.000216,0.0
STARLINK-3301,2021-125P,2026-02-09T04:44:15.639936,1,-2.156456967277724,15.08875494,9.51e-05,53.2169,17.0351,81.9749,278.1351,0.00070153,0.00010905,0.0
STARLINK-2406,2021-018AL,2026-02-09T20:00:01.999008,1,-2.155620087334322,15.30153815,0.0001652,53.1597,12.1497,89.0473,204.0585,0.0024991,0.00074294,0.0
STARLINK-35008,2025-192E,2026-02-09T16:00:00.999936,1,-2.154278963926549,15.39579757,0.0001158,53.1601,4.1486,74.3936,183.2227,0.001053,0.00041895,0.0
