OBJECT_NAME,OBJECT_ID,predicted_anomaly,lof_score,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-11361,2024-187M,1,-5.414686412340245,0.0001057,53.1574,0.00029981,15.69706044
STARLINK-30564,2023-156R,1,-5.232037556567834,0.0001607,53.1606,-0.0016588,15.30182569
STARLINK-36749,2026-026P,1,-5.165037231764438,0.00032401,97.2847,0.0017336007,15.49217904
STARLINK-4465,2022-099AH,1,-5.041243178214877,0.0001557,97.6385,0.00062023,15.89686375
STARLINK-1168,2020-006AE,1,-5.025036391037569,0.00011728,53.1594,-3.5701118e-05,15.29354927
STARLINK-1227,2020-012BE,1,-4.943332615224071,0.0001139,53.1596,7.9027e-05,15.31038194
STARLINK-32280,2024-152S,1,-4.893819192430028,0.00092183,53.1203,-0.015491307,16.29944754
STARLINK-35085,2025-192R,1,-4.873019827008841,3.785e-05,53.1598,0.0013307921,15.36288029
STARLINK-36950,2026-039G,1,-4.833934056223983,0.0001621,42.9994,-0.0023722,15.8218106
STARLINK-1500,2020-038Q,1,-4.750317220740176,0.0001883,53.0371,0.00090533,15.34929575
STARLINK-36816,2026-035N,1,-4.70583454098944,0.0001074,97.2687,-0.0024407,15.81107699
STARLINK-5876,2023-058E,1,-4.596849030135873,0.000212,97.6027,-0.0013907,15.05650578
STARLINK-31697,2024-076V,1,-4.569222318653458,8.73e-05,43.0024,6.5266e-05,15.28587927
STARLINK-6063,2023-078AW,1,-4.530252125150313,0.0003494,70.0007,0.00049079,15.58830192
STARLINK-11355,2024-249G,1,-4.448892719059815,0.000175,43.0009,0.0050843,15.70374602
STARLINK-30602,2023-160G,1,-4.432447429818277,8.37e-05,43.0028,6.8205e-05,15.22970255
STARLINK-36688,2026-022J,1,-4.381549072238206,9.572e-05,97.2837,-0.0014056816,15.74777074
STARLINK-4404,2022-084G,1,-4.321602576057446,0.0001517,97.6114,0.0017763,15.91187281
STARLINK-4461,2022-099AQ,1,-4.313817156472195,0.0001121,97.6318,0.0015245,15.91656695
STARLINK-4361,2022-099AE,1,-4.232966851274542,0.0001759,97.644,0.0016625,15.92016498
STARLINK-1350,2020-025E,1,-4.199376708947975,0.0002168,53.0733,0.00047727,15.36170637
STARLINK-2180,2021-017AS,1,-4.1955499771642755,7.347e-05,53.1608,0.00067692764,15.38029481
STARLINK-6221,2023-064AN,1,-4.169234800960654,0.0006016,70.0035,-0.019855,14.96564842
STARLINK-3XXX,2022-010C,1,-4.138405624582233,0.0079772,53.2173,-0.0013435,15.98893515
STARLINK-5800,2023-042BH,1,-4.125469450146687,0.0001184,43.0066,-0.000313,15.02515598
STARLINK-35674,2025-299R,1,-4.091099544776506,0.0001264,43.0001,2.252e-05,15.28397965
STARLINK-11142,2024-107N,1,-4.091069314053759,2.04e-05,53.159,9.9652e-06,15.69713184
STARLINK-3XXX,2022-010B,1,-4.076996288763429,0.0078778,53.2173,-0.0013261,15.9921023
STARLINK-30861,2023-171A,1,-4.048571011633067,0.000206,43.0009,0.00036218,15.22536564
STARLINK-4349,2022-077B,1,-3.9718205218880756,0.0001608,97.6012,0.001126,15.8332513
STARLINK-34939,2025-175K,1,-3.880327320195343,0.0002252,97.6024,-0.0011812,15.05628724
STARLINK-34479,2025-126X,1,-3.8788708420555147,0.0005208,70.0012,0.0010056,14.98360299
STARLINK-11210,2024-118D,1,-3.8733300732933698,4.9e-05,53.1588,0.0003363,15.69534619
STARLINK-3083,2021-082AE,1,-3.836325139933397,0.000492,69.9687,0.00060297,15.64701058
STARLINK-4714,2022-107E,1,-3.788424064152191,0.0002848,53.2173,0.00019323,15.08853123
STARLINK-11157,2024-118K,1,-3.785688015988891,0.0001332,53.1574,0.00034096,15.69765978
STARLINK-36253,2026-040P,1,-3.7751989630551783,0.0001991,97.2778,-0.010235,15.86430015
STARLINK-36487,2026-005N,1,-3.760059472390006,0.0001576,42.996,-0.0026561,15.28481628
